date,platform,sum
2015-03-25,android-app,2400759.00000
2014-12-06,android-app,2690922.00000
2014-12-22,android-app,3145830.00000
2015-09-30,android-app,2129627.00000
2015-09-03,android-app,2147731.00000
2015-01-23,android-app,2805017.00000
2015-02-01,android-app,2640004.00000
2014-12-10,ios-app,3649153.00000
2015-03-14,ios-app,2963241.00000
2014-12-27,android-app,3128570.00000
2015-02-15,ios-app,2959480.00000
2014-06-19,android-app,1349864.00000
2014-11-04,android-app,1839991.00000
2015-07-16,android-app,2138975.00000
2015-04-08,android-app,2366144.00000
2015-07-05,android-app,2143207.00000
2014-09-26,ios-app,2481018.00000
2015-06-21,android-app,2217159.00000
2015-08-01,ios-app,2942176.00000
2014-12-23,ios-app,4082678.00000
2014-06-29,ios-app,2380920.00000
2014-10-21,ios-app,2455125.00000
2014-11-24,android-app,2191858.00000
2015-08-09,ios-app,2992216.00000
2014-11-09,ios-app,2490976.00000
2014-08-14,ios-app,2449601.00000
2015-07-28,android-app,2095164.00000
2015-09-29,ios-app,3251788.00000
2014-07-15,ios-app,2452230.00000
2014-11-05,ios-app,2438858.00000
2014-11-21,ios-app,2746477.00000
2015-05-02,ios-app,3023347.00000
2015-06-24,android-app,2192950.00000
2015-03-20,ios-app,3012411.00000
2015-01-24,android-app,2773734.00000
2014-09-23,ios-app,2469053.00000
2015-06-21,ios-app,3016988.00000
2015-03-23,android-app,2393022.00000
2014-10-03,android-app,1644553.00000
2014-07-01,android-app,1357353.00000
2014-10-10,ios-app,2490880.00000
2014-10-14,ios-app,2484912.00000
2014-09-12,ios-app,2468057.00000
2015-09-20,ios-app,3177004.00000
2014-11-29,android-app,2444835.00000
2015-09-22,ios-app,3194212.00000
2014-08-19,ios-app,2463431.00000
2015-09-02,ios-app,3195200.00000
2014-12-13,ios-app,3703388.00000
2014-10-07,android-app,1656226.00000
2015-01-05,ios-app,3973089.00000
2015-06-23,android-app,2196737.00000
2014-10-08,android-app,1663276.00000
2014-12-30,android-app,3105817.00000
2015-02-16,android-app,2509314.00000
2014-09-14,android-app,1495472.00000
2015-02-06,android-app,2569336.00000
2014-08-15,android-app,1456654.00000
2015-08-28,android-app,2098561.00000
2014-10-03,ios-app,2512121.00000
2015-07-08,ios-app,2934749.00000
2015-02-02,ios-app,3085932.00000
2014-09-05,android-app,1448474.00000
2014-11-19,ios-app,2700064.00000
2015-03-21,ios-app,3015500.00000
2015-07-21,ios-app,2972673.00000
2014-12-16,android-app,2935589.00000
2014-08-05,android-app,1456309.00000
2014-12-23,android-app,3164055.00000
2015-08-12,ios-app,3014727.00000
2015-10-03,android-app,2124550.00000
2014-06-28,ios-app,2366887.00000
2015-08-14,android-app,2042351.00000
2014-06-13,ios-app,2330450.00000
2015-03-09,android-app,2419579.00000
2015-06-17,ios-app,3016964.00000
2015-07-15,android-app,2134335.00000
2015-01-06,android-app,3134419.00000
2014-06-10,ios-app,2310711.00000
2014-09-10,ios-app,2484039.00000
2015-03-29,ios-app,3119372.00000
2014-09-16,android-app,1497713.00000
2014-11-16,android-app,2051892.00000
2015-08-18,android-app,2052286.00000
2015-07-03,ios-app,2958302.00000
2014-10-30,ios-app,2404948.00000
2015-06-22,ios-app,3005235.00000
2014-10-26,android-app,1790734.00000
2014-06-04,ios-app,2314915.00000
2015-07-26,android-app,2097426.00000
2014-08-28,ios-app,2461738.00000
2015-05-31,android-app,2223083.00000
2014-06-30,ios-app,2388725.00000
2014-12-19,android-app,3021744.00000
2015-06-09,ios-app,3045454.00000
2015-03-29,android-app,2379083.00000
